on x=-39..5,y=-35..13,z=-14..36
off x=-70992..-58470,y=-56639..-28210,z=-19466..-2208
off x=52273..76206,y=28943..47161,z=14699..43674
off x=23758..48975,y=-69990..-63327,z=-45071..-21137
off x=59735..84688,y=13427..30113,z=25941..44318
off x=-23580..1219,y=71552..81377,z=10803..23711
on x=-4176..14097,y=78310..82094,z=5524..14136
off x=37705..60673,y=43265..76118,z=12902..30343
on x=-13173..12423,y=-13589..16214,z=-91780..-74972
off x=7344..28831,y=-14806..17747,z=59912..92740
off x=-7716..15471,y=16197..36505,z=73204..89957
off x=50757..75240,y=-49505..-26144,z=-50703..-26451
off x=-68228..-48773,y=-55335..-37515,z=-16806..424
on x=28828..60591,y=-40340..-23250,z=53261..75456
off x=17249..39205,y=-30393..-1469,z=74331..81522
off x=-41565..-26008,y=49599..84922,z=15664..43984
on x=-51255..-31891,y=-59306..-31019,z=44621..50118
on x=-15369..-2347,y=-94087..-63092,z=-16595..-1953
off x=69469..80984,y=1119..18363,z=14124..26481
off x=18068..36949,y=-74065..-61304,z=-47739..-25181
off x=53214..64436,y=2417..34457,z=-59352..-44412
off x=-24903..2512,y=-63668..-34872,z=-81969..-47226
off x=34810..64306,y=-74337..-56061,z=-19370..-9729
on x=-66509..-44443,y=-40172..-19474,z=28121..45661
off x=-36374..-19635,y=-66333..-34041,z=-71642..-46167
off x=-75397..-51655,y=-46533..-16675,z=15665..41437
on x=-67231..-50231,y=32645..45946,z=-52772..-36314
off x=15532..42255,y=42977..73876,z=-41724..-28899
on x=-638..11438,y=64611..74447,z=-44248..-21313
on x=64134..88886,y=9851..22058,z=-32496..-15750
on x=-36890..-11005,y=-79611..-66163,z=15502..27956
on x=57174..74239,y=-52035..-23720,z=18846..45953
on x=-11688..2112,y=30071..49114,z=-80075..-59814
off x=-23540..-8417,y=-58056..-35582,z=65655..80490
on x=-105..33967,y=-61550..-42727,z=-64519..-59397
off x=50608..64639,y=52047..66615,z=-18294..3775
on x=-26915..-12048,y=-41204..-26266,z=-84867..-64314
off x=-5082..10543,y=66797..99517,z=-7318..2895
on x=-78276..-46126,y=-60635..-47124,z=10331..28889
on x=-64135..-30374,y=-73285..-49714,z=-18883..18253
on x=-75748..-41518,y=46896..53281,z=-41494..-20714
off x=2480..24609,y=-1133..4080,z=-82339..-70692
on x=37426..40444,y=44719..64539,z=-63168..-46305
off x=-24247..-4199,y=-91675..-70918,z=21600..26475
off x=-42637..-17740,y=10111..34133,z=-80365..-66251
on x=-71979..-63006,y=17628..54546,z=-25282..-8620
off x=19903..40797,y=-45479..-26102,z=-60598..-40865
off x=-19025..4339,y=48332..73243,z=39512..59538
off x=-16909..12393,y=-90787..-66351,z=-27829..-18967
off x=-41734..-18617,y=45390..68801,z=-54896..-43486
on x=-34064..-15575,y=58590..87323,z=7208..21276
off x=-12155..156,y=-91244..-73776,z=9049..34240
on x=-46944..-17409,y=62237..76360,z=-499..1781
on x=67286..78354,y=-40480..-5879,z=-9310..22374
off x=61003..73081,y=20798..37756,z=-29692..1713
off x=-26749..-11336,y=41399..60267,z=-55917..-46404
on x=43741..51485,y=-33420..-15157,z=-74059..-46288
off x=40664..49756,y=-56738..-53184,z=18404..49888
off x=11119..34026,y=53518..73329,z=-40674..-29215
on x=356..32735,y=-42795..-31022,z=64421..80511
on x=-17765..6912,y=64293..82451,z=-10834..3740
off x=-23117..-7497,y=-56197..-38196,z=45032..78936
off x=-33928..-5819,y=3505..30266,z=65655..76454
off x=40655..60141,y=-61397..-30392,z=23106..55441
off x=-33018..-11881,y=48774..71231,z=-54940..-43163
off x=-55148..-29924,y=-72179..-55281,z=11364..43289
on x=23824..53365,y=47485..83819,z=19219..40382
off x=-58823..-38660,y=36160..74182,z=10658..38800
off x=-72657..-51235,y=-43758..-26077,z=23572..48361
on x=23769..53740,y=60193..86746,z=-42134..-11571
on x=-71003..-58647,y=-58346..-38690,z=-10719..7604
on x=55343..62594,y=9242..20993,z=32859..61464
on x=-15866..738,y=62300..84387,z=29622..37893
off x=23438..35850,y=50146..65201,z=33363..48271
off x=-46555..-30538,y=2719..28246,z=44730..66253
off x=-81236..-68127,y=-22722..-1561,z=-19482..8343
on x=-54410..-35969,y=28110..46111,z=29503..59945
off x=-21105..-14679,y=-22141..-3730,z=65579..92504
off x=2960..13126,y=19056..24557,z=-91185..-64145
off x=-2149..9769,y=60724..84132,z=19846..39777
on x=36472..49717,y=-70114..-63270,z=-45438..-26150
on x=-75795..-44009,y=-68905..-39498,z=-6911..24865
on x=-35744..-18334,y=-72301..-56851,z=-50405..-23276
on x=36874..68825,y=-72743..-46875,z=-29853..-15420
on x=64687..90942,y=-31723..-10600,z=12627..35451
off x=-24033..7058,y=5212..34036,z=63308..96443
on x=-32461..-11993,y=-18599..13496,z=67858..95825
on x=-14787..19571,y=58502..74162,z=-69576..-34257
on x=53452..82869,y=-49520..-34240,z=-16026..11625
off x=-83866..-59122,y=2100..32027,z=24198..44205
off x=-14365..2319,y=-89755..-73018,z=4880..22364
off x=62036..83808,y=39699..50848,z=16184..35241
off x=57205..67911,y=-27350..-21517,z=-46756..-27443
off x=62414..79995,y=-48813..-31326,z=-14997..-455
off x=-36019..-2000,y=65362..83321,z=28014..49976
on x=-82815..-56369,y=-21694..-13537,z=-46997..-24606
off x=-8241..19923,y=26110..47089,z=-89019..-68637
off x=41406..60196,y=367..21060,z=-70704..-43242
off x=-9225..9919,y=-71759..-63342,z=-61884..-35658
off x=21344..55409,y=30638..57388,z=40788..70545
off x=63494..83068,y=-29655..-682,z=10880..30117
on x=-32426..-15505,y=-65684..-54246,z=37005..61987
on x=-72406..-52218,y=-41385..-36738,z=-11161..1691
off x=-52540..-31478,y=56695..65511,z=-44399..-18394
on x=57080..88806,y=3630..17742,z=21713..45202
off x=56212..83988,y=19270..35602,z=-17285..-7191
off x=35885..58295,y=-45932..-37154,z=-52551..-40498
off x=5956..35309,y=62288..88246,z=9044..32130
off x=66232..83758,y=-21317..-3366,z=25525..55530
on x=13829..36901,y=-26228..-6363,z=-91708..-66711
off x=-32985..-19828,y=34317..59897,z=-67155..-54867
off x=41770..73943,y=45111..62837,z=20111..29494
off x=-13108..7472,y=-75565..-48036,z=26521..50646
off x=-12863..10581,y=49884..67182,z=-75435..-48525
on x=-45314..-23740,y=50384..82344,z=7975..40667
off x=29239..46015,y=-74070..-59105,z=4283..38014
off x=1076..26445,y=-53867..-33051,z=-87324..-70069
off x=44976..69921,y=5309..36285,z=27263..51265
on x=-46471..-36215,y=32792..58115,z=-62759..-31784
on x=-58361..-28000,y=1521..20429,z=48824..77384
off x=-39096..-10005,y=58360..75674,z=-32233..-17910
off x=4783..19229,y=-57235..-25169,z=-73400..-59801
off x=34850..63892,y=-48499..-41462,z=28235..50978
on x=-11706..-1176,y=-7656..14422,z=78665..97813
on x=-6761..13527,y=-22991..-3655,z=74613..89826
on x=2294..27656,y=-49060..-34370,z=-75820..-58299
on x=-83426..-63012,y=-6688..19545,z=21176..44943
on x=-41812..-22017,y=-62901..-27714,z=51151..65398
on x=17534..30861,y=54417..69870,z=-64443..-33468
off x=-30366..1224,y=54364..93022,z=-34531..-13485
off x=-77755..-61099,y=-32833..-21630,z=-32021..-21327
on x=-14485..-3984,y=-42928..-15375,z=-86912..-56712
on x=-12117..10472,y=-76888..-74614,z=16854..36431
off x=25654..40036,y=-90323..-70829,z=-11602..5072
on x=13297..34064,y=72284..95822,z=3463..19778
on x=-31875..-15199,y=62708..83242,z=-54162..-17234
off x=-84173..-64212,y=15346..31401,z=-52730..-28317
off x=-34457..-12316,y=12732..26740,z=-89885..-59140
on x=21661..44248,y=-62275..-52884,z=-64237..-35005
